Start,End,State
01-09-2022 10:14:34.756,01-09-2022 10:14:42.019,Walk
01-09-2022 10:15:32.503,01-09-2022 10:15:38.919,Walk
01-09-2022 10:17:13.272,01-09-2022 10:17:15.871,Walk
01-09-2022 10:17:22.051,01-09-2022 10:17:26.507,Walk
01-09-2022 10:17:15.871,01-09-2022 10:17:22.051,Run
